"pry1Cons","prdCtch","timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
"1","0.05",600,10,2576.1,2507.8,2631.5,2531.7,2443.6,2614.5,6626.6,6606.8,6644.1,6621.4,6592.3,6647.6,0.1,0,0.3,0.3,0,0.8,3.2,1,5.5,-0.0607081744103803,-0.343337871745353,0.244671222273025,-0.288134875267027,-0.715705820366016,0.219224127229992,-11.0714285714286,-23.8333333333333,0.11904761904762
"1","0.05",610,10,2610.3,2516.7,2710.9,2555,2481.4,2648.3,6606.8,6575.8,6639.6,6617.1,6589.8,6649.7,0.1,0,0.3,0.2,0,0.4,2.7,0.9,4.7,-0.298155757534407,-0.735735007325051,0.150640818415512,-0.0607207858169989,-0.690567350966323,0.520198827647077,-2.87698412698412,-16.3492063492063,12.0634920634921
"1","0.05",620,10,2700.8,2606.4,2798,2563,2491.7,2634.3,6605.2,6576.5,6639.6,6639.8,6606.7,6670.2,0.1,0,0.3,0.1,0,0.3,2.4,0.8,4.4,-0.0223780842976313,-0.385731679455085,0.362173531384755,0.345742125911375,-0.172299248957752,0.759470010985167,-6.76190476190476,-14.2857142857143,0
"1","0.05",630,10,2580.7,2514.4,2661,2536.5,2455.5,2630.5,6613.7,6591.1,6636.2,6631.4,6610.5,6653.1,0.3,0,0.7,0,0,0,2.5,1,4.3,0.134078738611208,-0.405294813554255,0.652458314768727,-0.120862856325144,-0.648303076763648,0.448396696697267,6.25,-2.5,17.5
"1","0.05",640,10,2608.4,2508.4,2714.5,2580.9,2515.6,2651.8,6633.7,6599.9,6662.7,6635.1,6616.7,6653.4,0.2,0,0.5,0.3,0,0.7,2.4,0.8,4.2,0.303960051283774,-0.183529446464132,0.781193515817712,0.0576982495716715,-0.346202779269338,0.426315950119603,-3.33333333333333,-15,5.00000000000001
"1","0.05",650,10,2524.5,2424.3,2637.5,2609.9,2534.6,2679.3,6633.5,6607.5,6660.5,6616.4,6592.8,6640.9,0.1,0,0.3,0.3,0,0.7,2.6,0.8,4.6,0.00056723501121035,-0.504667074342051,0.543028350052525,-0.282217081547586,-0.477993110717837,-0.084753581548091,2.85714285714286,0,7.14285714285715
"1","0.05",660,10,2512.4,2439,2594.6,2572.3,2478.5,2660.3,6627.3,6602,6650.2,6623.4,6594.4,6652.6,0,0,0,0.2,0,0.5,2.3,0.7,4.3,-0.0899270533021628,-0.518123931732138,0.371958131884718,0.106501257767274,-0.193089337699855,0.394098038491994,-4.83333333333333,-22,15
"1","0.05",670,10,2585.2,2483.8,2659.9,2635.8,2532,2758.6,6644.5,6616.8,6666.6,6633.9,6607.3,6658.8,0.3,0,0.8,0,0,0,1.8,0.4,3.5,0.261675332704494,-0.223487673041091,0.690279190569943,0.162369216015093,-0.338823184480299,0.69412267576792,-11.25,-26.6666666666667,-1.25
"1","0.05",680,10,2528.3,2432.3,2617.7,2613.5,2544.2,2687.8,6631.6,6614.7,6650.2,6618.1,6594.4,6639.6,0.1,0,0.3,0.1,0,0.3,2.3,0.6,4.5,-0.190468817975532,-0.617094270749425,0.334506819797541,-0.235605891231914,-0.617151677262659,0.162451030401013,16.2857142857143,2,38.5714285714286
"1","0.05",690,10,2604,2536.8,2665.8,2588.9,2546,2635,6615.7,6595.4,6632.8,6628.1,6607.3,6651.6,0,0,0,0.2,0,0.5,2.2,0.6,4.1,-0.238646943563364,-0.534181253879322,0.0440900041630306,0.154428086399914,-0.286446598552241,0.647575709994747,3.83333333333333,-6.33333333333334,15.8333333333333
