"pry1cons","prdCtchProb1","timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
"15","0.25",860,10,4426.1,4253.8,4619.3,4326.9,4106.8,4536,496.6,490.4,502.9,499.6,492.3,506.7,0,0,0,0,0,0,0,0,0,-2.07463385654441,-4.09636957866673,-0.0810785286134363,-1.64969588687936,-3.85806736719347,0.70390677572709,0,0,0
"15","0.25",870,10,4588.4,4376.6,4765.5,4577,4342.1,4845.4,504.5,497.1,512,499.6,491,508.7,0,0,0,0,0,0,0,0,0,1.61494948287974,0.198087888490365,3.29110644761333,0.0358043741048197,-1.98493890933702,1.98875027074302,0,0,0
"15","0.25",880,10,4436.2,4232.9,4623.6,4633.9,4353.2,4908,500.7,493.8,506.2,504.7,496.2,512.2,0,0,0,0,0,0,0,0,0,-0.70185531834414,-2.55103916739965,1.09944247878243,1.07003262375906,-0.699401200630364,3.01016366043688,0,0,0
"15","0.25",890,10,4667.3,4375.5,4958.9,4520.1,4312.1,4722.7,499.3,490.6,509.5,497.9,484.3,510.3,0,0,0,0,0,0,0,0,0,-0.263023797401956,-1.91878460001302,1.6183423481862,-1.25274618885238,-4.38003089304393,1.98523428769507,0,0,0
"15","0.25",900,10,4567.1,4108.4,4924.3,4678.3,4244.8,5057.3,502.3,495.3,510.2,505.2,498.6,512,0,0,0,0,0,0,0,0,0,0.715090249935701,-2.31244048440365,3.3871392511534,1.64674726667447,-1.19292532153559,5.03600519323294,0,0,0
"15","0.25",910,10,4533.9,4374.8,4690.7,4566.2,4358.8,4792.3,504.6,499,510.6,498.7,489.7,507.6,0,0,0,0,0,0,0,0,0,0.546044016956922,-1.90460040694458,2.90053112578919,-1.25087100718468,-3.25309840983439,0.70353619407276,0,0,0
"15","0.25",920,10,4671.7,4473,4854.3,4618.5,4456.5,4783.5,498.2,489.7,506,496.1,491.4,500.5,0,0,0,0,0,0,0,0,0,-1.21872967730843,-3.5197646988494,0.979994820875951,-0.437133389639574,-2.41383960247952,1.75387027772856,0,0,0
"15","0.25",930,10,4855.9,4600,5077,4764.7,4563.3,4976.1,495.5,490.5,501,503.3,493.6,512.4,0,0,0,0,0,0,0,0,0,-0.497860846638996,-1.95499930330399,0.789618116780364,1.48692487005388,-0.882928050879147,3.70388969639833,0,0,0
"15","0.25",940,10,4601.8,4394.8,4817.2,4424.6,4154,4682.3,503.5,491.9,517.5,499.1,491.5,507.4,0,0,0,0,0,0,0,0,0,1.66800653331569,-1.00265859860036,5.04415588790278,-0.808832082650746,-1.8031723546166,0.196066478677908,0,0,0
"15","0.25",950,10,4510,4220,4742.9,4442.5,4167.3,4704.1,502.4,496,507.6,506,499.8,512.5,0,0,0,0,0,0,0,0,0,-0.0704957934730144,-2.8490796769973,2.18223491855096,1.44029788262955,-0.253135300811173,3.28106505616941,0,0,0
"15","0.25",960,10,4515.1,4354.9,4682.9,4441.3,4161.3,4703.4,504.1,497.7,509.9,504.6,497.9,510.5,0,0,0,0,0,0,0,0,0,0.386786785576305,-1.57007678643801,2.39219161350105,-0.249038220303805,-1.66652012504613,1.24851685738509,0,0,0
"15","0.25",970,10,4313.2,4082.1,4551.4,4535.1,4335.3,4726.7,507.8,499.6,515.9,500.2,491.5,509.4,0,0,0,0,0,0,0,0,0,0.750702611390763,-0.770362665614105,2.44437390763187,-0.845404107352503,-2.71309298221094,0.972263253222385,0,0,0
